"CpG_ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","UCSC_RefGene_Name","Regulation","chr","pos"
"cg00558053",1.2636874541778,-5.41050697179115,11.7540047214206,3.05942984325114e-22,2.70070891283009e-18,39.8103398763253,"ADAT3;SCAMP4","Hypermethylated","chr19",1905303
"cg00645897",2.25396693813022,-5.54351034887018,12.0838860259176,4.56893845646076e-23,6.16187346631438e-19,41.6529858774263,"RAD54L;RAD54L;RAD54L","Hypermethylated","chr1",46713442
"cg00704780",2.80630327203584,1.62509282098598,12.8423134370767,5.85679962710797e-25,2.0311046432546e-20,45.8708094284642,"HDLBP;HDLBP","Hypermethylated","chr2",242207920
"cg00746143",2.30372885984872,2.80431885768574,13.7058861990688,4.26881663055049e-27,4.14512339986366e-22,50.6271857038862,"C3orf21","Hypermethylated","chr3",194959645
"cg00825131",-2.01155722574454,0.96596326140041,-11.8405391730458,1.85736845275951e-22,1.80354934447235e-18,40.294048254981,"","Hypomethylated","chr3",61379930
"cg00905312",2.56391277550821,2.93313682884316,11.1805679135963,8.37460340556303e-21,4.22388886285608e-17,36.6010807424785,"TRIP12","Hypermethylated","chr2",230675880
"cg01237887",2.20326846145501,1.82269819805021,11.1724566367802,8.77604106144275e-21,4.30391237153858e-17,36.5556602769545,"STK3","Hypermethylated","chr8",99489350
"cg01289769",2.07050889947016,2.44867235884563,11.7393941707414,3.32844925830122e-22,2.78621044189024e-18,39.728649238787,"ZNF148","Hypermethylated","chr3",125077434
"cg01331772",3.21904741381663,2.31246609493105,13.3270632804289,3.67451936231435e-26,2.54860463519424e-21,48.5478524594851,"","Hypermethylated","chr2",131094827
"cg01450600",2.92343340130132,2.67126928294582,11.6304581780167,6.24011349059829e-22,4.7338280953865e-18,39.119394181257,"FAM160B1","Hypermethylated","chr10",116640938
"cg01651169",2.27597468252439,1.80412870012795,11.217004282105,6.78608479330429e-21,3.74400636382585e-17,36.8051101874332,"ARPC1A","Hypermethylated","chr7",98960493
"cg02037503",1.26064110047203,-1.70185058661835,11.1992697362488,7.5176064975513e-21,3.92461093100982e-17,36.7058041620846,"ACIN1;ACIN1;ACIN1;ACIN1;ACIN1;ACIN1","Hypermethylated","chr14",23540729
"cg02039712",-1.88005533013445,-4.58907795400695,-12.5932697948739,2.44190967856352e-24,5.64560215170825e-20,44.4892822936012,"PDCD7","Hypomethylated","chr15",65425874
"cg02283949",2.18111783732084,2.47059972721739,11.3418871722774,3.30014403799274e-21,2.05417888740248e-17,37.5043523505788,"AIG1","Hypermethylated","chr6",143544445
"cg02713319",2.72518595396227,2.62584392885696,11.1993217799571,7.51534837161265e-21,3.92461093100982e-17,36.706095586595,"","Hypermethylated","chr13",43370511
"cg03067192",1.50334851768541,-Inf,12.2584538632636,2.11650209890004e-23,3.66995416800413e-19,42.3983529460501,"SBDSP;TYW1B;TYW1B;SBDSP;SBDSP;SBDSP","Hypermethylated","chr7",72300134
