"ID","chrom","loc.start","loc.end","num.mark","seg.mean","seg.sd","seg.median","seg.mad","sample"
"sampleid","chr1",635684,185525000,1219,0.0279,0.1442,0.0411,0.1349,"GSM1606855"
"sampleid","chr1",186025000,200700000,27,-0.329,0.1827,-0.3056,0.1337,"GSM1606855"
"sampleid","chr1",200825000,247675000,337,-0.0118,0.1495,0.0036,0.143,"GSM1606855"
"sampleid","chr1",247750000,249195311,10,-0.3387,0.1808,-0.3056,0.2455,"GSM1606855"
"sampleid","chr10",105000,135462374,840,-0.0519,0.1493,-0.0348,0.143,"GSM1606855"
"sampleid","chr11",130000,4700000,73,-0.1215,0.1048,-0.0982,0.0783,"GSM1606855"
"sampleid","chr11",4850000,6100000,11,-0.6639,0.2251,-0.6291,0.2978,"GSM1606855"
"sampleid","chr11",6225000,16300000,78,-0.2062,0.179,-0.1804,0.1378,"GSM1606855"
"sampleid","chr11",16625000,36425000,102,0.0754,0.1633,0.0986,0.1487,"GSM1606855"
"sampleid","chr11",36525000,43450000,8,-0.2464,0.1409,-0.2129,0.1464,"GSM1606855"
"sampleid","chr11",43575000,48125000,46,0.1556,0.1012,0.1654,0.0834,"GSM1606855"
"sampleid","chr11",48550000,56675000,16,-0.5479,0.2216,-0.5239,0.2002,"GSM1606855"
"sampleid","chr11",56975000,123525000,495,0.0397,0.1874,0.0939,0.1638,"GSM1606855"
"sampleid","chr11",123700000,124375000,5,-0.3529,0.0749,-0.3466,0.0294,"GSM1606855"
"sampleid","chr11",124475000,134873258,80,-0.0063,0.105,0.0035,0.1226,"GSM1606855"
"sampleid","chr12",172870,70350000,441,-0.0762,0.1811,-0.0693,0.1853,"GSM1606855"
"sampleid","chr12",70675000,93200000,61,-0.5483,0.2186,-0.5356,0.2368,"GSM1606855"
"sampleid","chr12",93425000,133770948,346,-0.2256,0.1644,-0.1947,0.1402,"GSM1606855"
"sampleid","chr13",19110000,53625000,231,-0.047,0.1514,-0.0467,0.1388,"GSM1606855"
"sampleid","chr13",54325000,94700000,63,-0.3287,0.197,-0.3176,0.2259,"GSM1606855"
"sampleid","chr13",95075000,115079939,137,0.0763,0.1328,0.0984,0.1314,"GSM1606855"
"sampleid","chr14",19325000,107119770,528,-0.0703,0.1764,-0.0465,0.18,"GSM1606855"
"sampleid","chr15",20225000,102410696,571,-0.016,0.1369,-0.0038,0.1337,"GSM1606855"
"sampleid","chr16",105000,90222377,624,-0.041,0.1484,-0.0178,0.1375,"GSM1606855"
"sampleid","chr17",25000,38750000,375,-0.1941,0.1655,-0.153,0.1342,"GSM1606855"
"sampleid","chr17",38850000,39400000,9,-0.5984,0.077,-0.6198,0.0493,"GSM1606855"
"sampleid","chr17",39475000,66575000,253,0.0367,0.1301,0.0506,0.1332,"GSM1606855"
"sampleid","chr17",66825000,69700000,7,-0.2298,0.1223,-0.1788,0.1006,"GSM1606855"
"sampleid","chr17",70125000,81122605,170,0.0944,0.0655,0.105,0.0685,"GSM1606855"
"sampleid","chr18",80000,77983624,243,-0.2866,0.1614,-0.269,0.1348,"GSM1606855"
"sampleid","chr19",180000,59084492,707,0.039,0.1386,0.0465,0.1279,"GSM1606855"
"sampleid","chr2",130000,162625000,838,-0.0593,0.1562,-0.0381,0.1598,"GSM1606855"
"sampleid","chr2",163050000,168250000,14,-0.4224,0.1683,-0.3941,0.1298,"GSM1606855"
"sampleid","chr2",168550000,182525000,79,-0.1347,0.1184,-0.1416,0.1079,"GSM1606855"
"sampleid","chr2",182675000,190150000,19,-0.3924,0.1804,-0.4124,0.2223,"GSM1606855"
"sampleid","chr2",190325000,243026238,332,-0.0719,0.1455,-0.0681,0.1546,"GSM1606855"
"sampleid","chr20",155000,29536739,123,8e-04,0.1554,0.0274,0.1434,"GSM1606855"
"sampleid","chr20",29926954,62907760,236,0.266,0.1002,0.272,0.0984,"GSM1606855"
"sampleid","chr21",10848948,32125000,32,-0.2893,0.203,-0.2747,0.1685,"GSM1606855"
"sampleid","chr21",32575000,48084948,125,-0.001,0.109,0.0152,0.0951,"GSM1606855"
"sampleid","chr22",16373925,16973925,2,-0.1598,0.0923,-0.1598,0.0967,"GSM1606855"
"sampleid","chr22",17325000,51222283,296,0.0816,0.1029,0.0998,0.1019,"GSM1606855"
"sampleid","chr3",155000,75550000,430,-0.0208,0.1368,-0.0049,0.1361,"GSM1606855"
"sampleid","chr3",75675000,97950000,30,-0.3841,0.202,-0.402,0.2035,"GSM1606855"
"sampleid","chr3",98225000,122625000,110,-0.1207,0.1727,-0.1097,0.1467,"GSM1606855"
"sampleid","chr3",122700000,143675000,152,0.2778,0.1237,0.2818,0.1271,"GSM1606855"
"sampleid","chr3",144775000,197831215,256,0.0563,0.1452,0.0481,0.142,"GSM1606855"
"sampleid","chr4",55000,375000,5,-0.1192,0.104,-0.1364,0.1007,"GSM1606855"
"sampleid","chr4",475000,17625000,157,0.1,0.1174,0.1262,0.0987,"GSM1606855"
"sampleid","chr4",17725000,58869667,130,-0.149,0.1546,-0.1343,0.1385,"GSM1606855"
"sampleid","chr4",60944667,74575000,25,-0.4031,0.2081,-0.3932,0.2377,"GSM1606855"
"sampleid","chr4",74725000,85500000,57,-0.1634,0.1199,-0.1555,0.0986,"GSM1606855"
"sampleid","chr4",85700000,190972138,368,-0.4785,0.2093,-0.4422,0.2021,"GSM1606855"
"sampleid","chr5",55000,17325000,123,-0.0271,0.1267,0.0044,0.0974,"GSM1606855"
"sampleid","chr5",17465329,27925000,11,-0.4568,0.2155,-0.4261,0.1382,"GSM1606855"
"sampleid","chr5",28875000,180777630,715,-0.0096,0.1634,-0.0032,0.1648,"GSM1606855"
"sampleid","chr6",155000,26650000,185,0.073,0.1201,0.0738,0.1111,"GSM1606855"
"sampleid","chr6",26825000,29475000,45,-0.2203,0.1688,-0.1576,0.1244,"GSM1606855"
"sampleid","chr6",29525000,53800000,238,0.069,0.1293,0.0847,0.121,"GSM1606855"
"sampleid","chr6",54325000,170952534,513,-0.2651,0.1787,-0.2419,0.165,"GSM1606855"
"sampleid","chr7",55000,159039332,952,-0.0409,0.1827,-0.0341,0.1773,"GSM1606855"
"sampleid","chr8",105000,2200000,38,-0.3026,0.1163,-0.2811,0.1156,"GSM1606855"
"sampleid","chr8",2350000,4650000,7,-0.7409,0.1729,-0.8336,0.1588,"GSM1606855"
